question,test,statistic,p_value,effect_size,effect_label,n_low,n_mid,n_high,mean_low,mean_mid,mean_high,df,n_total
financial_risk,Kruskal-Wallis,28.171503267973844,7.631954840257163e-07,0.6707500778089011,large,15.0,15.0,15.0,1.0,1.5333333333333334,2.6,,
job_security,Kruskal-Wallis,29.11076225361944,4.771756729225539e-07,0.693113386990939,large,15.0,15.0,15.0,1.0,1.0666666666666667,3.1333333333333333,,
time_preference,Kruskal-Wallis,38.54231811240824,4.272105430349506e-09,0.9176742407716247,large,15.0,15.0,15.0,1.0,2.933333333333333,3.933333333333333,,
education_investment,Kruskal-Wallis,32.56785714285715,8.471877700994273e-08,0.7754251700680274,large,15.0,15.0,15.0,2.8666666666666667,3.8666666666666667,4.0,,
college_selection,Kruskal-Wallis,42.343842074248684,6.38486210676137e-10,1.00818671605354,large,15.0,15.0,15.0,1.0,2.0,4.0,,
student_loan_attitude,Kruskal-Wallis,14.35878805634902,0.0007621295312747452,0.3418759061035481,large,15.0,15.0,15.0,0.8666666666666667,2.6,1.2666666666666666,,
work_flexibility,Kruskal-Wallis,4.41838741396266,0.10978913505079703,0.10519970033244427,medium,15.0,15.0,15.0,2.1333333333333333,2.8666666666666667,2.933333333333333,,
windfall_spending,Kruskal-Wallis,25.152583654544422,3.452914754369634e-06,0.5988710393939148,large,15.0,15.0,15.0,1.8,2.8666666666666667,2.8,,
car_purchase,Kruskal-Wallis,26.470292979546684,1.7866887889106667e-06,0.6302450709415878,large,15.0,15.0,15.0,1.0,1.4666666666666666,2.4,,
geographic_mobility,Kruskal-Wallis,7.458372056266797,0.024012373280466306,0.17758028705397136,large,15.0,15.0,15.0,1.1333333333333333,1.4666666666666666,1.8666666666666667,,
retirement_planning,Kruskal-Wallis,28.378698224852084,6.880879915982266e-07,0.6756832910679067,large,15.0,15.0,15.0,0.13333333333333333,1.9333333333333333,3.2,,
emergency_savings,Kruskal-Wallis,14.93737373737376,0.0005706771791532977,0.35565175565175616,large,15.0,15.0,15.0,3.466666666666667,3.066666666666667,3.8,,
rent_vs_buy,Kruskal-Wallis,2.933333333333405,0.23069318225495458,0.06984126984127155,medium,15.0,15.0,15.0,1.9333333333333333,2.0,2.066666666666667,,
career_priority,Chi-square,23.035714285714285,9.95080462870175e-06,0.7154752000627009,large,,,,,,,2.0,45.0
networking_approach,Chi-square,37.064935064935064,1.7103015402981315e-06,0.6417418576286043,large,,,,,,,6.0,45.0
health_insurance,Chi-square,32.16666666666667,1.7687632153922321e-06,0.5978356023250936,large,,,,,,,4.0,45.0
