model,question,test,statistic,p_value,effect_size,effect_size_label,n_low,n_middle,n_high,mean_low,mean_middle,mean_high,df,n_total
Claude Sonnet,financial_risk,Kruskal-Wallis,9.43055555555555,0.008957377560835509,0.7858796296296292,large,5.0,4.0,6.0,1.0,1.75,2.6666666666666665,,
Claude Sonnet,job_security,Kruskal-Wallis,11.635101010101005,0.00297488318872209,0.9695917508417504,large,5.0,4.0,6.0,1.0,1.25,3.3333333333333335,,
Claude Sonnet,time_preference,Kruskal-Wallis,11.766363636363643,0.002785906908598679,0.9805303030303035,large,5.0,4.0,6.0,1.8,2.5,4.0,,
Claude Sonnet,education_investment,Kruskal-Wallis,10.181818181818182,0.006152424231136862,0.8484848484848485,large,5.0,4.0,6.0,3.2,4.0,4.0,,
Claude Sonnet,college_selection,Kruskal-Wallis,9.82314049586777,0.0073609207811358365,0.8185950413223142,large,5.0,4.0,6.0,1.6,2.0,4.0,,
Claude Sonnet,student_loan_attitude,Kruskal-Wallis,5.181313131313139,0.07497080066967594,0.4317760942760949,large,5.0,4.0,6.0,1.4,3.0,2.1666666666666665,,
Claude Sonnet,work_flexibility,Kruskal-Wallis,4.410858585858588,0.11020320569123551,0.36757154882154897,large,5.0,4.0,6.0,1.8,3.25,3.0,,
Claude Sonnet,windfall_spending,Kruskal-Wallis,5.901538461538471,0.052299460117314456,0.4917948717948726,large,5.0,4.0,6.0,2.0,3.0,2.6666666666666665,,
Claude Sonnet,car_purchase,Kruskal-Wallis,10.595238095238095,0.005003492814052092,0.8829365079365079,large,5.0,4.0,6.0,1.0,1.75,2.3333333333333335,,
Claude Sonnet,geographic_mobility,Kruskal-Wallis,0.2707070707070743,0.8734070768195437,0.022558922558922858,small,5.0,4.0,6.0,1.6,1.5,1.8333333333333333,,
Claude Sonnet,retirement_planning,Kruskal-Wallis,4.0103864734299455,0.13463427689630303,0.33419887278582877,large,5.0,4.0,6.0,1.0,2.0,2.8333333333333335,,
Claude Sonnet,emergency_savings,Kruskal-Wallis,4.148148148148148,0.12567273728339515,0.345679012345679,large,5.0,4.0,6.0,3.4,3.0,3.6666666666666665,,
Claude Sonnet,rent_vs_buy,Kruskal-Wallis,,,0.0,No variance,5.0,4.0,6.0,2.0,2.0,2.0,,
Claude Sonnet,career_priority,Chi-square,11.875,0.002638617957091923,0.8897565210026093,large,,,,,,,2.0,15.0
Claude Sonnet,networking_approach,Chi-square,15.729166666666666,0.015283871104919246,0.7240894665409486,large,,,,,,,6.0,15.0
Claude Sonnet,health_insurance,Chi-square,3.954545454545454,0.4121924042693006,0.3630677372311974,medium,,,,,,,4.0,15.0
GPT-5,financial_risk,Kruskal-Wallis,11.1875,0.003721047739313519,0.9322916666666666,large,5.0,4.0,6.0,1.0,1.5,3.0,,
GPT-5,job_security,Kruskal-Wallis,10.040064102564102,0.006604315029158761,0.8366720085470085,large,5.0,4.0,6.0,1.0,1.5,3.0,,
GPT-5,time_preference,Kruskal-Wallis,7.927960526315787,0.018987388883621052,0.6606633771929823,large,5.0,4.0,6.0,2.2,2.75,4.0,,
GPT-5,education_investment,Kruskal-Wallis,8.626363636363635,0.013390874410241685,0.7188636363636363,large,5.0,4.0,6.0,2.4,3.75,4.0,,
GPT-5,college_selection,Kruskal-Wallis,11.442760942760938,0.0032751864789437005,0.9535634118967448,large,5.0,4.0,6.0,1.2,2.0,3.6666666666666665,,
GPT-5,student_loan_attitude,Kruskal-Wallis,9.0,0.011108996538242308,0.75,large,5.0,4.0,6.0,2.0,3.0,2.6666666666666665,,
GPT-5,work_flexibility,Kruskal-Wallis,1.8472222222222223,0.39708253979116775,0.1539351851851852,large,5.0,4.0,6.0,3.0,3.25,3.3333333333333335,,
GPT-5,windfall_spending,Kruskal-Wallis,10.181818181818182,0.006152424231136862,0.8484848484848485,large,5.0,4.0,6.0,1.4,3.0,3.0,,
GPT-5,car_purchase,Kruskal-Wallis,10.227272727272727,0.006014173390807013,0.8522727272727272,large,5.0,4.0,6.0,1.0,1.0,2.0,,
GPT-5,geographic_mobility,Kruskal-Wallis,1.5,0.4723665527410149,0.125,medium,5.0,4.0,6.0,1.0,1.0,1.3333333333333333,,
GPT-5,retirement_planning,Kruskal-Wallis,5.492536047497886,0.06416688420316605,0.4577113372914905,large,5.0,4.0,6.0,1.6,2.75,3.3333333333333335,,
GPT-5,emergency_savings,Kruskal-Wallis,2.5024864024864084,0.2861488350524768,0.20854053354053403,large,5.0,4.0,6.0,3.2,2.5,2.8333333333333335,,
GPT-5,rent_vs_buy,Kruskal-Wallis,,,0.0,No variance,5.0,4.0,6.0,2.0,2.0,2.0,,
GPT-5,career_priority,Chi-square,11.624999999999998,0.020369006146132736,0.6224949798994366,large,,,,,,,4.0,15.0
GPT-5,networking_approach,Chi-square,5.636904761904761,0.4650667267382378,0.4334706742062551,medium,,,,,,,6.0,15.0
GPT-5,health_insurance,Chi-square,3.615384615384616,0.4605520480623412,0.34714956504771904,medium,,,,,,,4.0,15.0
Gemini 2.5 Flash,financial_risk,Kruskal-Wallis,10.25,0.005946217356472094,0.8541666666666666,large,5.0,4.0,6.0,1.0,2.0,3.0,,
Gemini 2.5 Flash,job_security,Kruskal-Wallis,9.352135922330106,0.00931557115521696,0.7793446601941755,large,5.0,4.0,6.0,1.4,2.0,3.6666666666666665,,
Gemini 2.5 Flash,time_preference,Kruskal-Wallis,6.8444444444444414,0.03263982135080219,0.5703703703703701,large,5.0,4.0,6.0,1.2,2.5,3.3333333333333335,,
Gemini 2.5 Flash,education_investment,Kruskal-Wallis,8.139310344827592,0.01708327827756174,0.6782758620689661,large,5.0,4.0,6.0,2.2,3.5,4.0,,
Gemini 2.5 Flash,college_selection,Kruskal-Wallis,9.82314049586777,0.0073609207811358365,0.8185950413223142,large,5.0,4.0,6.0,1.6,2.0,4.0,,
Gemini 2.5 Flash,student_loan_attitude,Kruskal-Wallis,4.566588966588969,0.10194778757312625,0.38054908054908076,large,5.0,4.0,6.0,1.0,3.0,2.0,,
Gemini 2.5 Flash,work_flexibility,Kruskal-Wallis,2.348181818181821,0.30909985186483596,0.1956818181818184,large,5.0,4.0,6.0,3.4,3.25,2.0,,
Gemini 2.5 Flash,windfall_spending,Kruskal-Wallis,10.320000000000002,0.005741699685654198,0.8600000000000002,large,5.0,4.0,6.0,1.2,2.5,3.0,,
Gemini 2.5 Flash,car_purchase,Kruskal-Wallis,3.4761295822676934,0.17586039812945348,0.28967746518897447,large,5.0,4.0,6.0,1.0,1.5,2.0,,
Gemini 2.5 Flash,geographic_mobility,Kruskal-Wallis,4.579787234042553,0.10127723545479395,0.3816489361702127,large,5.0,4.0,6.0,1.6,1.25,2.6666666666666665,,
Gemini 2.5 Flash,retirement_planning,Kruskal-Wallis,4.766101131071192,0.0922686761062579,0.39717509425593267,large,5.0,4.0,6.0,1.6,3.0,4.333333333333333,,
Gemini 2.5 Flash,emergency_savings,Kruskal-Wallis,5.86057162534435,0.05338177877580303,0.4883809687786958,large,5.0,4.0,6.0,2.6,3.0,3.8333333333333335,,
Gemini 2.5 Flash,rent_vs_buy,Kruskal-Wallis,0.0,1.0,0.0,negligible,5.0,4.0,6.0,2.0,2.0,2.0,,
Gemini 2.5 Flash,career_priority,Chi-square,12.437500000000002,0.014377824965342626,0.6438814590693953,large,,,,,,,4.0,15.0
Gemini 2.5 Flash,networking_approach,Chi-square,5.056818181818182,0.28151712343068014,0.4105613304496736,medium,,,,,,,4.0,15.0
Gemini 2.5 Flash,health_insurance,Chi-square,8.819444444444446,0.18398991175202067,0.542200591553976,large,,,,,,,6.0,15.0
